Receita,PA/Exerc,Dt. Vcto,Vl.Original,Sdo.Devedor,Situação
1107-01 - GFIP - MULTA ATR,31/12/2014,29/03/2019,"500,00","500,00",DEVEDOR
1345-01 - DCTF - MULTA ATR,26/04/2023,17/07/2023,"500,00","500,00",DEVEDOR
1345-01 - DCTF - MULTA ATR,23/05/2023,27/10/2023,"500,00","500,00",DEVEDOR
1345-01 - DCTF - MULTA ATR,23/06/2023,27/10/2023,"500,00","500,00",DEVEDOR
1345-01 - DCTF - MULTA ATR,24/07/2023,27/10/2023,"500,00","500,00",DEVEDOR
1345-01 - DCTF - MULTA ATR,22/08/2023,27/10/2023,"500,00","500,00",DEVEDOR
2203-01 - EFD - PIS/COFINS,18/09/2023,23/10/2023,"80,11","80,11",DEVEDOR
5440-01 - MAED - DCTFWEB,17/04/2023,06/07/2023,"500,00","500,00",DEVEDOR
5440-01 - MAED - DCTFWEB,16/05/2023,06/07/2023,"500,00","500,00",DEVEDOR
5440-01 - MAED - DCTFWEB,17/07/2023,18/08/2023,"500,00","500,00",DEVEDOR
5440-01 - MAED - DCTFWEB,23/12/2019,06/11/2023,"1.585,77","1.585,77",DEVEDOR
