Receita   ,PA/Exerc  ,Dt. Vcto  ,Vl.Original,Sdo.Devedor,Situação
0561-07 - IRRF,03/2023,20/04/2023,"2.827,28","2.827,28",DEVEDOR
0561-07 - IRRF,04/2023,19/05/2023,"3.265,14","3.265,14",DEVEDOR
0561-07 - IRRF,05/2023,20/06/2023,"2.594,76","2.594,76",DEVEDOR
0561-07 - IRRF,06/2023,20/07/2023,"2.679,03","2.679,03",DEVEDOR
0561-07 - IRRF,07/2023,18/08/2023,"2.762,22","2.762,22",DEVEDOR
0561-07 - IRRF,11/2023,20/12/2023,"3.107,80","3.107,80",DEVEDOR
0561-07 - IRRF,12/2023,19/01/2024,"7.398,60","7.398,60",DEVEDOR
1708-06 - IRRF,03/2023,20/04/2023,"279,41","279,41",DEVEDOR
1708-06 - IRRF,04/2023,19/05/2023,"292,61","292,61",DEVEDOR
1708-06 - IRRF,05/2023,20/06/2023,"256,80","256,80",DEVEDOR
1708-06 - IRRF,06/2023,20/07/2023,"270,84","270,84",DEVEDOR
1708-06 - IRRF,07/2023,18/08/2023,"275,36","275,36",DEVEDOR
1708-06 - IRRF,11/2023,20/12/2023,"256,87","256,87",DEVEDOR
1708-06 - IRRF,12/2023,19/01/2024,"279,21","279,21",DEVEDOR
6912-01 - PIS,07/2023,25/08/2023,"1.652,91","1.652,91",DEVEDOR
6912-01 - PIS,08/2023,25/09/2023,"1.223,62","1.223,62",DEVEDOR
6912-01 - PIS,09/2023,25/10/2023,"711,17","711,17",DEVEDOR
6912-01 - PIS,10/2023,24/11/2023,"7.507,81","7.507,81",DEVEDOR
6912-01 - PIS,11/2023,22/12/2023,"3.230,68","3.230,68",DEVEDOR
5856-01 - COFINS,07/2023,25/08/2023,"7.613,43","7.613,43",DEVEDOR
5856-01 - COFINS,08/2023,25/09/2023,"5.636,04","5.636,04",DEVEDOR
5856-01 - COFINS,09/2023,25/10/2023,"3.275,77","3.275,77",DEVEDOR
5856-01 - COFINS,10/2023,24/11/2023,"34.581,42","34.581,42",DEVEDOR
5856-01 - COFINS,11/2023,22/12/2023,"14.880,53","14.880,53",DEVEDOR
5952-07 - CSRF,03/2023,20/04/2023,"987,97","987,97",DEVEDOR
5952-07 - CSRF,04/2023,19/05/2023,"1.028,89","1.028,89",DEVEDOR
5952-07 - CSRF,05/2023,20/06/2023,"1.031,48","1.031,48",DEVEDOR
5952-07 - CSRF,06/2023,20/07/2023,"1.001,93","1.001,93",DEVEDOR
5952-07 - CSRF,07/2023,18/08/2023,"1.001,52","1.001,52",DEVEDOR
5952-07 - CSRF,11/2023,20/12/2023,"935,35","935,35",DEVEDOR
5952-07 - CSRF,12/2023,19/01/2024,"1.039,28","1.039,28",DEVEDOR
1082-01 - CP-SEGUR.,03/2023,20/04/2023,"4.245,45","4.245,45",DEVEDOR
1082-01 - CP-SEGUR.,04/2023,19/05/2023,"4.564,36","4.564,36",DEVEDOR
1082-01 - CP-SEGUR.,05/2023,20/06/2023,"4.197,26","4.197,26",DEVEDOR
1082-01 - CP-SEGUR.,06/2023,20/07/2023,"4.217,77","4.217,77",DEVEDOR
1082-01 - CP-SEGUR.,11/2023,20/12/2023,"4.689,39","4.689,39",DEVEDOR
1082-01 - CP-SEGUR.,12/2023,19/01/2024,"5.711,29","5.711,29",DEVEDOR
1138-01 - CP-PATRONAL,08/2019,20/09/2019,"17.803,36","44,62",DEVEDOR
1138-01 - CP-PATRONAL,03/2023,20/04/2023,"8.997,12","8.997,12",DEVEDOR
1138-01 - CP-PATRONAL,04/2023,19/05/2023,"9.553,97","9.553,97",DEVEDOR
1138-01 - CP-PATRONAL,05/2023,20/06/2023,"8.895,90","8.895,90",DEVEDOR
1138-01 - CP-PATRONAL,06/2023,20/07/2023,"8.943,48","8.943,48",DEVEDOR
1138-01 - CP-PATRONAL,07/2023,18/08/2023,"9.024,02","9.024,02",DEVEDOR
1138-01 - CP-PATRONAL,08/2023,20/09/2023,"9.358,29","9.358,29",DEVEDOR
1138-01 - CP-PATRONAL,09/2023,20/10/2023,"8.953,51","8.953,51",DEVEDOR
1138-01 - CP-PATRONAL,10/2023,17/11/2023,"10.149,05","10.149,05",DEVEDOR
1138-01 - CP-PATRONAL,11/2023,20/12/2023,"10.124,62","10.124,62",DEVEDOR
1138-01 - CP-PATRONAL,12/2023,19/01/2024,"13.018,53","13.018,53",DEVEDOR
1162-01 - CP-PATRONAL,03/2023,20/04/2023,"535,27","535,27",DEVEDOR
1162-01 - CP-PATRONAL,04/2023,19/05/2023,"535,27","535,27",DEVEDOR
1162-01 - CP-PATRONAL,05/2023,20/06/2023,"535,27","535,27",DEVEDOR
1162-01 - CP-PATRONAL,06/2023,20/07/2023,"535,27","535,27",DEVEDOR
1162-01 - CP-PATRONAL,07/2023,18/08/2023,"535,27","535,27",DEVEDOR
1162-01 - CP-PATRONAL,11/2023,20/12/2023,"373,11","373,11",DEVEDOR
1162-01 - CP-PATRONAL,12/2023,19/01/2024,"373,11","373,11",DEVEDOR
1162-01 - CP-PATRONAL,12/2023,19/01/2024,"64,90","64,90",DEVEDOR
1162-01 - CP-PATRONAL,12/2023,19/01/2024,"245,86","245,86",DEVEDOR
1646-01 - CP-PATRONAL,08/2019,20/09/2019,"1.335,25","3,35",DEVEDOR
1646-01 - CP-PATRONAL,03/2023,20/04/2023,"2.160,52","2.160,52",DEVEDOR
1646-01 - CP-PATRONAL,04/2023,19/05/2023,"2.294,24","2.294,24",DEVEDOR
1646-01 - CP-PATRONAL,05/2023,20/06/2023,"2.136,21","2.136,21",DEVEDOR
1646-01 - CP-PATRONAL,06/2023,20/07/2023,"2.147,64","2.147,64",DEVEDOR
1646-01 - CP-PATRONAL,07/2023,18/08/2023,"2.166,98","2.166,98",DEVEDOR
1646-01 - CP-PATRONAL,08/2023,20/09/2023,"2.247,25","2.247,25",DEVEDOR
1646-01 - CP-PATRONAL,09/2023,20/10/2023,"2.150,05","2.150,05",DEVEDOR
1646-01 - CP-PATRONAL,10/2023,17/11/2023,"2.437,14","2.437,14",DEVEDOR
1646-01 - CP-PATRONAL,11/2023,20/12/2023,"2.431,27","2.431,27",DEVEDOR
1646-01 - CP-PATRONAL,12/2023,19/01/2024,"3.126,20","3.126,20",DEVEDOR
1170-01 - CP-TERCEIROS,08/2019,20/09/2019,"2.225,42","5,58",DEVEDOR
1170-01 - CP-TERCEIROS,03/2023,20/04/2023,"1.124,64","1.124,64",DEVEDOR
1170-01 - CP-TERCEIROS,04/2023,19/05/2023,"1.194,24","1.194,24",DEVEDOR
1170-01 - CP-TERCEIROS,05/2023,20/06/2023,"1.111,98","1.111,98",DEVEDOR
1170-01 - CP-TERCEIROS,06/2023,20/07/2023,"1.117,93","1.117,93",DEVEDOR
1170-01 - CP-TERCEIROS,07/2023,18/08/2023,"1.128,00","1.128,00",DEVEDOR
1170-01 - CP-TERCEIROS,08/2023,20/09/2023,"1.169,78","1.169,78",DEVEDOR
1170-01 - CP-TERCEIROS,09/2023,20/10/2023,"1.119,18","1.119,18",DEVEDOR
1170-01 - CP-TERCEIROS,10/2023,17/11/2023,"1.268,63","1.268,63",DEVEDOR
1170-01 - CP-TERCEIROS,11/2023,20/12/2023,"1.265,57","1.265,57",DEVEDOR
1170-01 - CP-TERCEIROS,12/2023,19/01/2024,"1.627,31","1.627,31",DEVEDOR
1176-01 - CP-TERCEIROS,03/2023,20/04/2023,"89,97","89,97",DEVEDOR
1176-01 - CP-TERCEIROS,04/2023,19/05/2023,"95,53","95,53",DEVEDOR
1176-01 - CP-TERCEIROS,05/2023,20/06/2023,"88,95","88,95",DEVEDOR
1176-01 - CP-TERCEIROS,06/2023,20/07/2023,"89,43","89,43",DEVEDOR
1176-01 - CP-TERCEIROS,07/2023,18/08/2023,"90,24","90,24",DEVEDOR
