Receita,PA/Exerc,Dt. Vcto,Vl.Original,Sdo.Devedor,Situação
0561-07 - IRRF,03/2023,20/04/2023,"2.827,28","2.827,28",DEVEDOR
0561-07 - IRRF,04/2023,19/05/2023,"3.265,14","3.265,14",DEVEDOR
0561-07 - IRRF,05/2023,20/06/2023,"2.594,76","2.594,76",DEVEDOR
0561-07 - IRRF,06/2023,20/07/2023,"2.679,03","2.679,03",DEVEDOR
0561-07 - IRRF,07/2023,18/08/2023,"2.762,22","2.762,22",DEVEDOR
0561-07 - IRRF,11/2023,20/12/2023,"3.107,80","3.107,80",DEVEDOR
0561-07 - IRRF,12/2023,19/01/2024,"7.398,60","7.398,60",DEVEDOR
1708-06 - IRRF,03/2023,20/04/2023,"279,41","279,41",DEVEDOR
1708-06 - IRRF,04/2023,19/05/2023,"292,61","292,61",DEVEDOR
1708-06 - IRRF,05/2023,20/06/2023,"256,80","256,80",DEVEDOR
1708-06 - IRRF,06/2023,20/07/2023,"270,84","270,84",DEVEDOR
1708-06 - IRRF,07/2023,18/08/2023,"275,36","275,36",DEVEDOR
1708-06 - IRRF,11/2023,20/12/2023,"256,87","256,87",DEVEDOR
1708-06 - IRRF,12/2023,19/01/2024,"279,21","279,21",DEVEDOR
6912-01 - PIS,07/2023,25/08/2023,"1.652,91","1.652,91",DEVEDOR
6912-01 - PIS,08/2023,25/09/2023,"1.223,62","1.223,62",DEVEDOR
6912-01 - PIS,09/2023,25/10/2023,"711,17","711,17",DEVEDOR
6912-01 - PIS,10/2023,24/11/2023,"7.507,81","7.507,81",DEVEDOR
6912-01 - PIS,11/2023,22/12/2023,"3.230,68","3.230,68",DEVEDOR
5856-01 - COFINS,07/2023,25/08/2023,"7.613,43","7.613,43",DEVEDOR
5856-01 - COFINS,08/2023,25/09/2023,"5.636,04","5.636,04",DEVEDOR
5856-01 - COFINS,09/2023,25/10/2023,"3.275,77","3.275,77",DEVEDOR
5856-01 - COFINS,10/2023,24/11/2023,"34.581,42","34.581,42",DEVEDOR
5856-01 - COFINS,11/2023,22/12/2023,"14.880,53","14.880,53",DEVEDOR
